id,employee_email,name,country,city,salary,joining_date,contract_type
24,aruddn@patch.com,Alvy,Sweden,Filipstad,$7024.92,2023-11-21,Hard Tile & Stone
43,ebandy16@ustream.tv,Ezra,Sweden,Filipstad,$1345.91,2023-10-24,Framing (Wood)
63,mbliben1q@webeden.co.uk,Murdock,Sweden,Filipstad,$8200.26,2023-08-29,RF Shielding
119,tdarter3a@house.gov,Torin,Sweden,Filipstad,$1846.80,2023-09-26,Epoxy Flooring
179,dwoollacott4y@angelfire.com,Drusy,Sweden,Filipstad,$3984.76,2023-08-19,Structural & Misc Steel Erection
253,lbavidge70@cbslocal.com,Lilllie,Sweden,Filipstad,$7632.07,2023-10-24,Termite Control
318,ijessel8t@devhub.com,Idaline,Sweden,Filipstad,$9311.58,2023-08-28,Sitework & Site Utilities
357,ldefreyne9w@wikia.com,Larry,Sweden,Filipstad,$9585.98,2023-09-08,"Doors, Frames & Hardware"
409,cpawelskibc@technorati.com,Celene,Sweden,Filipstad,$8868.59,2023-11-21,Sitework & Site Utilities
429,cdelaeglisebw@mlb.com,Cassaundra,Sweden,Filipstad,$9799.39,2023-11-26,Overhead Doors
479,akiledalda@jugem.jp,Arnaldo,Sweden,Filipstad,$5232.78,2023-11-07,Drywall & Acoustical (FED)
574,mantonopoulosfx@slate.com,Marge,Sweden,Filipstad,$8562.66,2023-12-23,Rebar & Wire Mesh Install
696,ikoenenjb@soundcloud.com,Ilene,Sweden,Filipstad,$2076.60,2023-09-10,Painting & Vinyl Wall Covering
705,dhodgesjk@fda.gov,Dolly,Sweden,Filipstad,$4900.29,2023-10-17,Electrical
708,ejouannotjn@wsj.com,Ethan,Sweden,Filipstad,$5158.72,2023-08-19,Asphalt Paving
730,dduffank9@hhs.gov,Darill,Sweden,Filipstad,$1220.75,2023-08-20,Epoxy Flooring
769,djershlc@hugedomains.com,Devlen,Sweden,Filipstad,$8197.43,2023-09-09,Masonry
814,hcrutchleyml@mediafire.com,Hayden,Sweden,Filipstad,$3821.60,2023-12-26,Epoxy Flooring
822,msalomonmt@tiny.cc,Michelina,Sweden,Filipstad,$2524.04,2023-09-29,Hard Tile & Stone
823,blaidelmu@boston.com,Bram,Sweden,Filipstad,$7578.76,2023-10-01,Site Furnishings
888,alovelesson@51.la,Ange,Sweden,Filipstad,$2614.92,2023-10-14,Rebar & Wire Mesh Install
930,hkingettpt@wix.com,Halsy,Sweden,Filipstad,$1383.43,2023-09-11,Electrical
52,zfranzini1f@privacy.gov.au,Zolly,Ukraine,Lebedyn,$7409.39,2023-12-19,Ornamental Railings
78,blacheze25@example.com,Bailey,Ukraine,Lebedyn,$8141.59,2023-12-08,Glass & Glazing
114,ltinn35@usa.gov,Lois,Ukraine,Lebedyn,$1797.50,2023-11-29,Glass & Glazing
124,yacklands3f@dailymotion.com,Yalonda,Ukraine,Lebedyn,$1592.24,2023-09-14,"Doors, Frames & Hardware"
128,cbockman3j@bbc.co.uk,Coreen,Ukraine,Lebedyn,$1619.74,2023-10-12,RF Shielding
159,calbrooke4e@dot.gov,Clemente,Ukraine,Lebedyn,$4700.18,2023-08-24,Drywall & Acoustical (MOB)
243,gebertz6q@list-manage.com,Gene,Ukraine,Lebedyn,$7205.27,2023-10-04,Hard Tile & Stone
248,nvogel6v@kickstarter.com,Nicholas,Ukraine,Lebedyn,$9428.68,2023-10-04,Roofing (Metal)
277,dgrant7o@webs.com,Delmar,Ukraine,Lebedyn,$9322.77,2023-09-18,Casework
285,pbraunlein7w@fotki.com,Parry,Ukraine,Lebedyn,$9751.07,2023-10-21,Framing (Wood)
309,lbuxcey8k@barnesandnoble.com,Lindsey,Ukraine,Lebedyn,$6554.34,2023-12-11,Rebar & Wire Mesh Install
363,ipeggrema2@icio.us,Idalia,Ukraine,Lebedyn,$2290.77,2023-10-10,Retaining Wall and Brick Pavers
533,abeekenes@webnode.com,Arlinda,Ukraine,Lebedyn,$4498.89,2023-09-10,Framing (Steel)
559,sdemageardfi@behance.net,Sheridan,Ukraine,Lebedyn,$2756.04,2023-09-17,Electrical and Fire Alarm
570,boccleshawft@instagram.com,Benedetta,Ukraine,Lebedyn,$8788.00,2023-10-29,Landscaping & Irrigation
579,eeldersg2@hhs.gov,Ellary,Ukraine,Lebedyn,$2577.17,2023-12-17,Fire Sprinkler System
731,vgallafantka@ftc.gov,Vinnie,Ukraine,Lebedyn,$8593.25,2023-11-30,Site Furnishings
766,wmanueaul9@etsy.com,Wilhelm,Ukraine,Lebedyn,$4402.85,2023-12-05,Structural and Misc Steel (Fabrication)
779,lpettettlm@seattletimes.com,Lorne,Ukraine,Lebedyn,$4506.68,2023-09-29,Structural & Misc Steel Erection
796,cmattessenm3@bloomberg.com,Chaunce,Ukraine,Lebedyn,$2681.49,2023-12-18,Asphalt Paving
827,mtyremy@cisco.com,Marlin,Ukraine,Lebedyn,$6754.71,2023-10-09,Sitework & Site Utilities
841,dcrowthernc@unicef.org,Delmer,Ukraine,Lebedyn,$7866.25,2023-08-28,Site Furnishings
853,tlydfordno@indiatimes.com,Tedi,Ukraine,Lebedyn,$6012.41,2023-10-13,Structural & Misc Steel Erection
883,ktinstonoi@tinypic.com,Kimble,Ukraine,Lebedyn,$6946.09,2023-09-21,Roofing (Metal)
952,bslimmingqf@theguardian.com,Brocky,Ukraine,Lebedyn,$8542.89,2023-10-20,Retaining Wall and Brick Pavers
969,tgoudgeqw@vkontakte.ru,Toma,Ukraine,Lebedyn,$9454.73,2023-12-18,Framing (Wood)
