id,employee_email,name,country,city,salary,joining_date,contract_type
51,snalder1e@prnewswire.com,Savina,China,Heiheba,$8358.44,2024-07-05,Structural & Misc Steel Erection
73,ygronauer20@nytimes.com,Yancey,China,Heiheba,$9000.12,2024-03-19,Termite Control
102,bboome2t@lulu.com,Brandais,China,Heiheba,$3548.47,2024-07-26,Overhead Doors
106,bmussington2x@ed.gov,Bartolomeo,China,Heiheba,$2734.33,2024-01-09,Casework
198,cdjurisic5h@photobucket.com,Caterina,China,Heiheba,$4265.10,2024-03-02,Fire Sprinkler System
228,lmuzzini6b@photobucket.com,Linnea,China,Heiheba,$4178.97,2024-07-17,Electrical
249,chughill6w@hhs.gov,Christye,China,Heiheba,$5070.45,2024-07-11,RF Shielding
440,adunnec7@time.com,Angy,China,Heiheba,$9505.23,2024-03-11,Granite Surfaces
465,jsturzakercw@time.com,Jabez,China,Heiheba,$9111.02,2024-06-18,Construction Clean and Final Clean
587,cmcmillamga@free.fr,Cleon,China,Heiheba,$9670.40,2024-01-25,Drywall & Acoustical (MOB)
594,lsitlingtongh@va.gov,Lindi,China,Heiheba,$7820.11,2024-07-10,Painting & Vinyl Wall Covering
602,ctremelliergp@moonfruit.com,Cristian,China,Heiheba,$8182.39,2024-01-14,Hard Tile & Stone
635,mfehnerhm@intel.com,Matthiew,China,Heiheba,$4456.58,2024-01-23,Electrical
636,ainnerstonehn@netvibes.com,Astrid,China,Heiheba,$6562.89,2024-01-18,Soft Flooring and Base
645,awellsteadhw@sciencedaily.com,Alexine,China,Heiheba,$3557.71,2024-01-18,Plumbing & Medical Gas
650,gfermini1@techcrunch.com,Glenden,China,Heiheba,$4879.70,2024-06-25,Marlite Panels (FED)
719,ssteljesjy@illinois.edu,Scarlett,China,Heiheba,$1947.66,2024-08-18,Wall Protection
733,schatwoodkc@answers.com,Sue,China,Heiheba,$9768.27,2024-06-20,Roofing (Asphalt)
788,mdundridgelv@soup.io,Merle,China,Heiheba,$8297.02,2024-02-16,Asphalt Paving
804,woclovanmb@army.mil,Wolfie,China,Heiheba,$7740.74,2024-02-17,Epoxy Flooring
817,kpatmanmo@topsy.com,Kai,China,Heiheba,$6449.80,2024-03-12,Drywall & Acoustical (MOB)
825,abornemw@e-recht24.de,Ario,China,Heiheba,$5582.69,2024-07-16,Exterior Signage
941,apoulgreenq4@springer.com,Aland,China,Heiheba,$4792.97,2024-03-05,Retaining Wall and Brick Pavers
953,mtaggartqg@mapy.cz,Massimo,China,Heiheba,$5064.47,2024-07-16,Marlite Panels (FED)
28,ikiralyr@people.com.cn,Issi,China,Liulin,$8353.49,2024-07-19,Fire Protection
131,lwinn3m@scientificamerican.com,Law,China,Liulin,$8008.55,2024-07-12,Rebar & Wire Mesh Install
200,fdoerling5j@wunderground.com,Frasco,China,Liulin,$5107.30,2024-08-13,Glass & Glazing
246,kmattiessen6t@ow.ly,Ken,China,Liulin,$3784.47,2024-07-07,Overhead Doors
254,koatley71@histats.com,Kirbie,China,Liulin,$9138.32,2024-04-25,Structural and Misc Steel (Fabrication)
300,tcoggill8b@gizmodo.com,Tudor,China,Liulin,$9102.41,2024-02-01,Landscaping & Irrigation
302,tgreenleaf8d@weebly.com,Trace,China,Liulin,$6835.78,2024-07-02,Fire Sprinkler System
392,ghaggardav@businessinsider.com,Guthrey,China,Liulin,$1338.90,2024-06-23,Roofing (Asphalt)
416,orobroebj@instagram.com,Opaline,China,Liulin,$9130.42,2024-04-01,Electrical
437,hmosconic4@paginegialle.it,Haskel,China,Liulin,$7112.74,2024-04-27,Casework
452,nweetchcj@biglobe.ne.jp,Nickola,China,Liulin,$8529.85,2024-01-02,Painting & Vinyl Wall Covering
472,mgalead3@mlb.com,Mickie,China,Liulin,$4088.48,2024-03-24,Electrical
560,cdeblasiofj@storify.com,Carina,China,Liulin,$6375.78,2024-01-08,EIFS
571,mmurrigansfu@reddit.com,Marlane,China,Liulin,$1876.93,2024-06-08,Roofing (Asphalt)
584,iobriang7@yelp.com,Ivette,China,Liulin,$4991.13,2024-05-11,Exterior Signage
595,fitzkovskygi@plala.or.jp,Felizio,China,Liulin,$3777.77,2024-02-09,Ornamental Railings
598,erudramgl@behance.net,Edan,China,Liulin,$5288.98,2024-03-21,Glass & Glazing
683,jghelarducciiy@hud.gov,Jillene,China,Liulin,$9602.56,2024-02-23,Drilled Shafts
694,mroomej9@qq.com,Maurine,China,Liulin,$3758.72,2024-06-19,Ornamental Railings
758,fnorthilll1@vimeo.com,Franny,China,Liulin,$4221.73,2024-05-24,Prefabricated Aluminum Metal Canopies
776,cseatonlj@youtu.be,Corry,China,Liulin,$5953.45,2024-01-05,Drywall & Acoustical (FED)
844,ddeclercnf@weebly.com,Delly,China,Liulin,$9470.37,2024-05-25,Glass & Glazing
893,ctarbinos@oakley.com,Clareta,China,Liulin,$4701.42,2024-05-30,Drywall & Acoustical (MOB)
904,wrichfordp3@1und1.de,Wanids,China,Liulin,$5467.54,2024-08-06,Ornamental Railings
914,mshippd@psu.edu,Minny,China,Liulin,$6259.98,2024-06-09,Epoxy Flooring
927,mramelpq@friendfeed.com,Maury,China,Liulin,$5691.07,2024-02-21,Curb & Gutter
940,dmarczykq3@mozilla.org,Domenic,China,Liulin,$2220.86,2024-03-12,Exterior Signage
995,akortingrm@japanpost.jp,Alfredo,China,Liulin,$2429.41,2024-07-13,Landscaping & Irrigation
