id,employee_email,name,country,city,salary,joining_date,contract_type
2,etombling1@altervista.org,Eberhard,Philippines,Botao,$1175.10,2023-09-22,Epoxy Flooring
22,hnuschkel@webmd.com,Hobie,Philippines,Botao,$3185.09,2023-11-19,Wall Protection
34,sdarceyx@theglobeandmail.com,Susana,Philippines,Botao,$5892.20,2023-10-17,Curb & Gutter
40,eramme13@cmu.edu,Ermina,Philippines,Botao,$3431.50,2023-09-10,Fire Protection
353,hmapledoram9s@com.com,Hadley,Philippines,Botao,$4432.07,2023-09-01,Hard Tile & Stone
361,lprescotea0@mozilla.org,Lew,Philippines,Botao,$9988.31,2023-12-15,Elevator
458,cloviecp@discovery.com,Chanda,Philippines,Botao,$6110.30,2023-10-25,Electrical and Fire Alarm
487,hboylunddi@google.com.hk,Hyatt,Philippines,Botao,$4431.03,2023-10-31,Roofing (Metal)
506,eharfoote1@mit.edu,Elinore,Philippines,Botao,$8680.92,2023-12-08,Waterproofing & Caulking
520,aelnoughef@fastcompany.com,Alyson,Philippines,Botao,$8267.76,2023-10-22,Exterior Signage
528,dochterlonyen@nbcnews.com,Deloria,Philippines,Botao,$9908.02,2023-09-11,Painting & Vinyl Wall Covering
537,tnewartew@usa.gov,Torie,Philippines,Botao,$4486.13,2023-08-23,Waterproofing & Caulking
631,afinnhi@buzzfeed.com,Adams,Philippines,Botao,$4399.82,2023-08-29,Masonry
656,ggoldi7@sfgate.com,Gran,Philippines,Botao,$6818.39,2023-09-28,Masonry & Precast
700,ocolletjf@histats.com,Olivier,Philippines,Botao,$7194.85,2023-09-15,Masonry & Precast
724,rmartinuzzik3@census.gov,Regan,Philippines,Botao,$8277.73,2023-09-26,"Temp Fencing, Decorative Fencing and Gates"
843,mscutterne@hubpages.com,Marisa,Philippines,Botao,$1360.74,2023-11-06,Exterior Signage
848,cfierronj@guardian.co.uk,Cherilynn,Philippines,Botao,$9273.61,2023-10-14,Site Furnishings
850,rsrawleynl@techcrunch.com,Rosabelle,Philippines,Botao,$6428.51,2023-12-18,Epoxy Flooring
855,dlearynq@wsj.com,Devonna,Philippines,Botao,$5228.66,2023-11-05,Sitework & Site Utilities
865,aomrodo0@google.nl,Augustin,Philippines,Botao,$7634.85,2023-11-14,Retaining Wall and Brick Pavers
907,spineauxp6@phpbb.com,Sarena,Philippines,Botao,$2093.56,2023-12-24,Prefabricated Aluminum Metal Canopies
961,fmanskeqo@unesco.org,Franklyn,Philippines,Botao,$5780.53,2023-10-11,Sitework & Site Utilities
32,spiatekv@printfriendly.com,Stephan,Russia,Gigant,$9567.92,2023-09-10,Fire Sprinkler System
81,mbycraft28@imgur.com,Milli,Russia,Gigant,$1494.68,2023-08-26,Site Furnishings
115,spyner36@sogou.com,Sam,Russia,Gigant,$6115.03,2023-09-21,HVAC
118,wlillo39@scientificamerican.com,Winnifred,Russia,Gigant,$1660.33,2023-10-28,Structural & Misc Steel Erection
123,nbrind3e@youtube.com,Nial,Russia,Gigant,$5517.96,2023-10-03,Construction Clean and Final Clean
197,bchecketts5g@time.com,Braden,Russia,Gigant,$3893.13,2023-09-10,Masonry & Precast
255,aesbrook72@fc2.com,Alexander,Russia,Gigant,$7480.98,2023-09-18,Landscaping & Irrigation
290,odandison81@state.tx.us,Osborne,Russia,Gigant,$7448.51,2023-12-12,Landscaping & Irrigation
341,lbraine9g@ucla.edu,Lucille,Russia,Gigant,$5982.95,2023-10-06,Marlite Panels (FED)
369,fgofortha8@time.com,Fernande,Russia,Gigant,$7659.60,2023-11-01,Electrical
370,dhuffya9@illinois.edu,Desmund,Russia,Gigant,$8062.19,2023-09-07,Exterior Signage
492,gscogindn@phoca.cz,Guglielma,Russia,Gigant,$7779.18,2023-09-28,Drywall & Acoustical (MOB)
493,tmcmorrando@wikispaces.com,Tonia,Russia,Gigant,$9489.29,2023-10-13,Sitework & Site Utilities
508,eshemilte3@exblog.jp,Elsworth,Russia,Gigant,$5868.73,2023-11-17,Elevator
600,rsheryngn@wikimedia.org,Reba,Russia,Gigant,$3269.18,2023-12-27,Landscaping & Irrigation
612,abegggz@cnbc.com,Aile,Russia,Gigant,$2633.92,2023-11-03,Overhead Doors
623,zpalffreyha@google.es,Zuzana,Russia,Gigant,$7756.65,2023-12-26,EIFS
652,mmacavddyi3@netvibes.com,Maggee,Russia,Gigant,$2381.40,2023-11-22,Plumbing & Medical Gas
667,abillitteriii@msn.com,Arin,Russia,Gigant,$9604.78,2023-11-05,HVAC
712,cmaywardjr@sbwire.com,Caril,Russia,Gigant,$2347.18,2023-12-26,Structural and Misc Steel (Fabrication)
813,tcriellymk@patch.com,Torie,Russia,Gigant,$9093.82,2023-11-19,Exterior Signage
820,smaccrannmr@washington.edu,Samson,Russia,Gigant,$5591.78,2023-12-10,Drilled Shafts
973,wlucksr0@reference.com,Wilmette,Russia,Gigant,$3889.40,2023-12-05,EIFS
978,amarzellanor5@360.cn,Alane,Russia,Gigant,$8385.66,2023-12-02,Landscaping & Irrigation
25,thuffeyo@vkontakte.ru,Tani,Indonesia,Klukeng,$7408.57,2023-08-26,Glass & Glazing
