id,employee_email,name,country,city,salary,joining_date,contract_type
14,mhiscocksd@who.int,Mayor,Croatia,Pregrada,$7413.46,2023-10-13,Hard Tile & Stone
62,lwinram1p@ftc.gov,L;urette,Croatia,Pregrada,$8666.47,2023-11-17,Drilled Shafts
103,carmstead2u@unc.edu,Chelsy,Croatia,Pregrada,$6476.75,2023-10-19,Rebar & Wire Mesh Install
130,mmordaunt3l@hexun.com,Moe,Croatia,Pregrada,$4027.94,2023-09-24,Sitework & Site Utilities
147,cbrandino42@wsj.com,Chad,Croatia,Pregrada,$1906.35,2023-10-10,Plumbing & Medical Gas
150,kdelacote45@fda.gov,Koenraad,Croatia,Pregrada,$2726.63,2023-10-26,Drilled Shafts
196,abake5f@cam.ac.uk,Ali,Croatia,Pregrada,$1597.07,2023-09-13,Sitework & Site Utilities
221,nvinnicombe64@wordpress.com,Nevins,Croatia,Pregrada,$6300.63,2023-09-06,Casework
265,byoselevitch7c@nih.gov,Brenna,Croatia,Pregrada,$4246.37,2023-10-04,Site Furnishings
447,nmacdougalce@tamu.edu,Nanci,Croatia,Pregrada,$2121.70,2023-10-04,"Temp Fencing, Decorative Fencing and Gates"
494,prudolfdp@google.cn,Pearce,Croatia,Pregrada,$2987.28,2023-11-18,Masonry
551,hjacobfa@liveinternet.ru,Harrietta,Croatia,Pregrada,$3469.99,2023-09-04,Painting & Vinyl Wall Covering
593,rzahorgg@amazon.de,Reed,Croatia,Pregrada,$6452.97,2023-09-13,Plumbing & Medical Gas
605,ddrenggs@mac.com,Dareen,Croatia,Pregrada,$6721.09,2023-10-02,Fire Sprinkler System
606,mwiltshawgt@com.com,Myrtia,Croatia,Pregrada,$3323.49,2023-09-22,Structural & Misc Steel Erection
627,mranglehe@typepad.com,Maisie,Croatia,Pregrada,$5456.73,2023-11-09,HVAC
646,okilrowhx@usnews.com,Odie,Croatia,Pregrada,$5404.37,2023-09-19,Roofing (Metal)
648,rquillinanehz@4shared.com,Rabbi,Croatia,Pregrada,$8284.41,2023-10-22,Landscaping & Irrigation
672,hswantonin@dot.gov,Hasty,Croatia,Pregrada,$6876.82,2023-11-04,Hard Tile & Stone
697,ssealjc@si.edu,Sharon,Croatia,Pregrada,$9128.20,2023-09-10,Curb & Gutter
838,bsammsn9@nps.gov,Brendin,Croatia,Pregrada,$9096.42,2023-12-13,Waterproofing & Caulking
866,glilywhiteo1@netvibes.com,Gabriel,Croatia,Pregrada,$1165.11,2023-12-18,Construction Clean and Final Clean
897,abrabonow@wix.com,Anne-marie,Croatia,Pregrada,$6629.10,2023-12-25,Electrical and Fire Alarm
920,ddeevespj@woothemes.com,Dre,Croatia,Pregrada,$2978.04,2023-11-19,Rebar & Wire Mesh Install
974,flepoidevinr1@mayoclinic.com,Frankie,Croatia,Pregrada,$9486.75,2023-10-26,Roofing (Asphalt)
