id,employee_email,name,country,city,salary,joining_date,contract_type
12,aworsnipb@alibaba.com,Alexandre,United States,Albany,$9103.94,2023-12-18,Overhead Doors
58,malderton1l@weather.com,Mattie,United States,Albany,$5889.19,2023-08-26,Hard Tile & Stone
107,manthon2y@telegraph.co.uk,Melvin,United States,Albany,$6532.61,2023-09-06,Masonry
166,delderfield4l@bing.com,Donall,United States,Albany,$3074.45,2023-11-16,Marlite Panels (FED)
261,mdellcasa78@biblegateway.com,Maxine,United States,Albany,$7019.53,2023-10-17,Roofing (Metal)
294,dmenendez85@opensource.org,Darwin,United States,Albany,$8792.75,2023-10-20,Site Furnishings
356,kpozzi9v@pen.io,Karena,United States,Albany,$5281.06,2023-10-12,Drywall & Acoustical (FED)
403,atradewellb6@tiny.cc,Anallise,United States,Albany,$1595.23,2023-09-21,Ornamental Railings
412,jgietzbf@huffingtonpost.com,Jason,United States,Albany,$3694.92,2023-11-28,"Doors, Frames & Hardware"
507,nswansboroughe2@t.co,Nadia,United States,Albany,$2072.25,2023-11-20,Framing (Wood)
629,dbolerhg@pen.io,Daune,United States,Albany,$2195.42,2023-09-24,Termite Control
634,tsibleyhl@yolasite.com,Tomaso,United States,Albany,$6242.32,2023-12-08,Hard Tile & Stone
637,hhabbonho@msn.com,Heath,United States,Albany,$4472.54,2023-11-17,Epoxy Flooring
880,scrankhornof@merriam-webster.com,Stillman,United States,Albany,$9627.59,2023-09-11,RF Shielding
946,mmurrisonq9@angelfire.com,Malia,United States,Albany,$9958.32,2023-08-30,Rebar & Wire Mesh Install
947,thearnshawqa@bizjournals.com,Teodoro,United States,Albany,$2360.61,2023-12-20,Roofing (Asphalt)
954,veillesqh@bloglovin.com,Vanny,United States,Albany,$2610.51,2023-09-29,Painting & Vinyl Wall Covering
963,ckenealyqq@blogger.com,Carline,United States,Albany,$3399.57,2023-12-27,RF Shielding
966,bbillqt@google.cn,Bernie,United States,Albany,$7744.97,2023-11-14,Elevator
1000,jobingtonrr@yahoo.com,Jesus,United States,Albany,$7280.11,2023-10-28,Hard Tile & Stone
9,lvarey8@360.cn,Lucinda,China,Dinghuo,$7025.98,2023-11-19,Electrical and Fire Alarm
30,btupiet@cbsnews.com,Bamby,China,Dinghuo,$5191.68,2023-09-25,Retaining Wall and Brick Pavers
68,btofanini1v@indiegogo.com,Belicia,China,Dinghuo,$5010.12,2023-10-09,Casework
158,erubinsohn4d@smugmug.com,Elisabet,China,Dinghuo,$9662.12,2023-09-14,Construction Clean and Final Clean
190,dlemerchant59@hud.gov,Der,China,Dinghuo,$6506.19,2023-12-29,Prefabricated Aluminum Metal Canopies
192,gblount5b@mapquest.com,Germaine,China,Dinghuo,$8573.25,2023-12-08,Masonry & Precast
252,mamer6z@pcworld.com,Melosa,China,Dinghuo,$7188.46,2023-08-21,Curb & Gutter
266,hderyebarrett7d@google.fr,Hallie,China,Dinghuo,$3171.65,2023-11-17,Wall Protection
305,ncollough8g@nydailynews.com,Ned,China,Dinghuo,$2357.02,2023-12-08,Drywall & Acoustical (MOB)
346,wlindenberg9l@infoseek.co.jp,Wit,China,Dinghuo,$3324.20,2023-12-18,Ornamental Railings
400,jfolinib3@wisc.edu,Janaya,China,Dinghuo,$4494.64,2023-09-24,Hard Tile & Stone
431,dbasiliby@earthlink.net,Delmer,China,Dinghuo,$3420.54,2023-08-21,HVAC
451,dcabedoci@comcast.net,Dotti,China,Dinghuo,$8859.21,2023-09-06,Site Furnishings
453,ncuttlesck@exblog.jp,Natalie,China,Dinghuo,$4815.54,2023-11-09,Framing (Steel)
649,nsicklingi0@1688.com,Nelle,China,Dinghuo,$3558.59,2023-08-25,Casework
660,ecristouib@chronoengine.com,Ernestine,China,Dinghuo,$9394.02,2023-11-27,Casework
691,bmorlingj6@exblog.jp,Birgitta,China,Dinghuo,$7669.19,2023-11-03,Retaining Wall and Brick Pavers
856,shedgenr@livejournal.com,Stephanie,China,Dinghuo,$9358.05,2023-12-14,Soft Flooring and Base
858,leadesnt@state.tx.us,Lonny,China,Dinghuo,$1752.56,2023-09-01,Fire Protection
868,ddoveo3@zdnet.com,Delainey,China,Dinghuo,$1536.60,2023-12-12,EIFS
996,wclackrn@ameblo.jp,Winifred,China,Dinghuo,$7049.10,2023-10-18,Exterior Signage
29,cfontels@oracle.com,Coletta,Russia,Zyablikovo,$5384.74,2023-09-02,Sitework & Site Utilities
50,gdunlop1d@uol.com.br,Ginelle,Russia,Zyablikovo,$6082.92,2023-10-19,Fire Protection
64,kranshaw1r@blogtalkradio.com,Kristofer,Russia,Zyablikovo,$4183.42,2023-12-23,"Doors, Frames & Hardware"
120,kmatteucci3b@usnews.com,Krispin,Russia,Zyablikovo,$4616.53,2023-11-18,Curb & Gutter
176,csyson4v@economist.com,Cherrita,Russia,Zyablikovo,$1287.51,2023-10-24,Masonry & Precast
313,megalton8o@unicef.org,Mord,Russia,Zyablikovo,$6437.06,2023-12-19,Retaining Wall and Brick Pavers
389,aflorias@uol.com.br,Ardelle,Russia,Zyablikovo,$3877.38,2023-12-17,Fire Sprinkler System
434,mbibeyc1@comsenz.com,Marietta,Russia,Zyablikovo,$8000.50,2023-12-01,Structural & Misc Steel Erection
601,lburburygo@springer.com,Lazare,Russia,Zyablikovo,$4582.30,2023-12-18,Electrical
654,bquigi5@ycombinator.com,Bryce,Russia,Zyablikovo,$9279.57,2023-12-13,Fire Protection
676,kgrimsleyir@businessinsider.com,Kaitlynn,Russia,Zyablikovo,$9195.24,2023-10-20,Structural & Misc Steel Erection
711,ccrispejq@sbwire.com,Carmelina,Russia,Zyablikovo,$5768.25,2023-09-15,Fire Sprinkler System
770,hphuprateld@over-blog.com,Henrietta,Russia,Zyablikovo,$3058.68,2023-12-11,Electrical and Fire Alarm
900,hhandlingoz@hexun.com,Helga,Russia,Zyablikovo,$2473.73,2023-08-20,Sitework & Site Utilities
936,bhelstrippz@netscape.com,Base,Russia,Zyablikovo,$2031.99,2023-12-02,Rebar & Wire Mesh Install
938,hfeatherstonhaughq1@nih.gov,Harriot,Russia,Zyablikovo,$2216.22,2023-09-04,Casework
10,gdumbellow9@loc.gov,Godfree,Slovenia,Bilje,$3797.99,2023-12-27,Masonry & Precast
71,wmell1y@spotify.com,Webb,Slovenia,Bilje,$6928.04,2023-10-14,Site Furnishings
94,esellers2l@myspace.com,Elysia,Slovenia,Bilje,$5723.88,2023-10-16,Termite Control
116,fhulance37@nytimes.com,Fabiano,Slovenia,Bilje,$7554.58,2023-10-26,Drywall & Acoustical (FED)
135,sdrains3q@smh.com.au,Shauna,Slovenia,Bilje,$5763.98,2023-10-21,Structural and Misc Steel (Fabrication)
207,atruin5q@wordpress.com,Albertina,Slovenia,Bilje,$7129.41,2023-12-17,"Doors, Frames & Hardware"
239,iwillshear6m@mit.edu,Ivie,Slovenia,Bilje,$6471.19,2023-08-22,Framing (Wood)
260,fmallon77@oaic.gov.au,Farrah,Slovenia,Bilje,$6197.67,2023-12-13,Site Furnishings
267,eburrett7e@google.com,Ezmeralda,Slovenia,Bilje,$7248.32,2023-11-11,Rebar & Wire Mesh Install
381,sphilipardak@privacy.gov.au,Sybilla,Slovenia,Bilje,$1868.83,2023-10-09,Marlite Panels (FED)
393,nkennaaw@odnoklassniki.ru,Niles,Slovenia,Bilje,$9008.03,2023-11-23,Roofing (Asphalt)
478,slarvind9@craigslist.org,Shepperd,Slovenia,Bilje,$9477.08,2023-12-07,Overhead Doors
484,mjuleffdf@biblegateway.com,Madlin,Slovenia,Bilje,$4086.04,2023-10-20,Asphalt Paving
603,rquereegq@admin.ch,Raddie,Slovenia,Bilje,$4165.61,2023-10-27,Framing (Steel)
763,jedmonsl6@discovery.com,Jamil,Slovenia,Bilje,$7383.57,2023-12-05,Site Furnishings
768,alittericklb@4shared.com,Angie,Slovenia,Bilje,$8367.65,2023-09-14,Elevator
784,aoldreylr@nps.gov,Amble,Slovenia,Bilje,$6140.20,2023-10-12,Asphalt Paving
793,ipreatorm0@acquirethisname.com,Inez,Slovenia,Bilje,$2579.85,2023-12-10,Roofing (Asphalt)
842,fcufflinnd@ucla.edu,Fayina,Slovenia,Bilje,$3864.97,2023-10-19,"Doors, Frames & Hardware"
896,gkoresov@ning.com,Geralda,Slovenia,Bilje,$8465.48,2023-09-12,Asphalt Paving
981,pspottswoodr8@mozilla.com,Pansie,Slovenia,Bilje,$3597.98,2023-09-13,Roofing (Metal)
998,lderisleyrp@mozilla.com,Lemmy,Slovenia,Bilje,$7274.98,2023-11-07,Fire Protection
