id,employee_email,name,country,city,salary,joining_date,contract_type
39,hhallmark12@ox.ac.uk,Hillary,China,Liuge,$3454.89,2023-11-20,Construction Clean and Final Clean
377,astrelitzag@simplemachines.org,Ana,China,Liuge,$9717.49,2023-12-14,Retaining Wall and Brick Pavers
397,nkerrodb0@moonfruit.com,Neda,China,Liuge,$5147.30,2023-09-27,Granite Surfaces
535,egobleeu@163.com,Edward,China,Liuge,$1541.73,2023-10-05,Landscaping & Irrigation
572,achartrefv@sohu.com,Alyss,China,Liuge,$8955.76,2023-10-26,Roofing (Asphalt)
653,jmcphateri4@msn.com,Jillana,China,Liuge,$4333.38,2023-09-13,Framing (Steel)
678,vjacobowiczit@themeforest.net,Virginia,China,Liuge,$1217.42,2023-09-30,Painting & Vinyl Wall Covering
723,vsabbenk2@odnoklassniki.ru,Verene,China,Liuge,$1723.42,2023-08-30,Sitework & Site Utilities
728,cbuttenk7@java.com,Chrissy,China,Liuge,$5472.55,2023-12-25,Painting & Vinyl Wall Covering
748,isickertkr@topsy.com,Itch,China,Liuge,$8201.22,2023-10-16,Framing (Wood)
764,jwareingl7@mozilla.com,Jaimie,China,Liuge,$5642.75,2023-11-29,Structural & Misc Steel Erection
824,nbelliardmv@virginia.edu,Noel,China,Liuge,$1266.31,2023-12-19,Electrical
945,lbenkheq8@wsj.com,Leeland,China,Liuge,$4540.84,2023-12-29,HVAC
967,msaynorqu@ox.ac.uk,Myrtle,China,Liuge,$4713.23,2023-12-26,Retaining Wall and Brick Pavers
992,smacmechanrj@mashable.com,Shelby,China,Liuge,$7577.50,2023-11-22,RF Shielding
