id,employee_email,name,country,city,salary,joining_date,contract_type
54,ngeerdts1h@usda.gov,Niki,Syria,Al Ghizlānīyah,$4336.94,2023-11-02,Glass & Glazing
101,lhancill2s@exblog.jp,Leela,Syria,Al Ghizlānīyah,$6721.01,2023-12-02,Fire Protection
145,pmaclucais40@hp.com,Pierce,Syria,Al Ghizlānīyah,$6215.98,2023-11-27,EIFS
162,eklementz4h@printfriendly.com,Elly,Syria,Al Ghizlānīyah,$1970.67,2023-11-03,EIFS
247,dtoffel6u@princeton.edu,Dasi,Syria,Al Ghizlānīyah,$8349.36,2023-11-06,Granite Surfaces
310,fpashba8l@google.com.br,Fay,Syria,Al Ghizlānīyah,$4967.41,2023-12-16,Retaining Wall and Brick Pavers
340,lchern9f@unc.edu,Lanni,Syria,Al Ghizlānīyah,$1768.03,2023-08-19,Framing (Wood)
342,rdusting9h@jiathis.com,Rona,Syria,Al Ghizlānīyah,$1699.16,2023-11-06,EIFS
557,ddenverfg@cmu.edu,Demeter,Syria,Al Ghizlānīyah,$8229.10,2023-12-24,Fire Protection
620,paucklandh7@stumbleupon.com,Philippe,Syria,Al Ghizlānīyah,$1295.13,2023-12-26,Soft Flooring and Base
703,sexonji@google.ru,Spike,Syria,Al Ghizlānīyah,$8593.33,2023-10-26,Retaining Wall and Brick Pavers
707,gmerrganjm@amazon.com,Goldina,Syria,Al Ghizlānīyah,$9415.35,2023-12-10,Soft Flooring and Base
710,qmacneiljp@list-manage.com,Quincey,Syria,Al Ghizlānīyah,$7763.80,2023-11-17,EIFS
765,kaldingtonl8@wired.com,Kiersten,Syria,Al Ghizlānīyah,$3004.93,2023-11-15,Plumbing & Medical Gas
802,aanthonm9@netscape.com,Aluin,Syria,Al Ghizlānīyah,$7875.62,2023-10-15,Structural and Misc Steel (Fabrication)
899,agrgicoy@intel.com,Archibald,Syria,Al Ghizlānīyah,$6956.31,2023-12-22,Prefabricated Aluminum Metal Canopies
913,sgusneypc@yelp.com,Susanne,Syria,Al Ghizlānīyah,$6057.48,2023-12-11,EIFS
955,mbutqi@google.cn,Marilin,Syria,Al Ghizlānīyah,$3472.82,2023-11-13,Rebar & Wire Mesh Install
