id,employee_email,name,country,city,salary,joining_date,contract_type
113,uthexton34@networkadvertising.org,Ulrike,Russia,Kurortnyy,$7895.31,2023-11-06,"Temp Fencing, Decorative Fencing and Gates"
156,hhague4b@plala.or.jp,Hastie,Russia,Kurortnyy,$1851.49,2023-12-09,Granite Surfaces
315,ltosney8q@photobucket.com,Liz,Russia,Kurortnyy,$9123.52,2023-11-23,Retaining Wall and Brick Pavers
371,agebbieaa@weibo.com,Archambault,Russia,Kurortnyy,$6387.52,2023-12-18,Curb & Gutter
375,acargenvenae@forbes.com,Anton,Russia,Kurortnyy,$4376.07,2023-10-22,Sitework & Site Utilities
395,nstanawayay@diigo.com,Nevsa,Russia,Kurortnyy,$7616.31,2023-09-03,Exterior Signage
402,cnorthingb5@nature.com,Conant,Russia,Kurortnyy,$6853.64,2023-12-23,Curb & Gutter
462,pbrestonct@spiegel.de,Pris,Russia,Kurortnyy,$7172.68,2023-10-24,Drilled Shafts
604,heasterfieldgr@vinaora.com,Hasheem,Russia,Kurortnyy,$2495.26,2023-09-27,Drilled Shafts
674,shubbartip@parallels.com,Samuel,Russia,Kurortnyy,$9842.67,2023-11-10,Exterior Signage
698,jdingsdalejd@drupal.org,Joell,Russia,Kurortnyy,$9608.98,2023-11-19,Fire Sprinkler System
727,escholek6@ucsd.edu,Ev,Russia,Kurortnyy,$4067.67,2023-08-26,Soft Flooring and Base
924,cpettiforpn@usda.gov,Cherice,Russia,Kurortnyy,$2692.45,2023-11-01,Construction Clean and Final Clean
928,cstrangewaypr@ustream.tv,Chiquia,Russia,Kurortnyy,$4234.01,2023-09-06,Glass & Glazing
943,krickisq6@hud.gov,Karlis,Russia,Kurortnyy,$5148.63,2023-09-20,Framing (Steel)
960,jwildingqn@squarespace.com,Jessie,Russia,Kurortnyy,$6667.60,2023-10-22,Overhead Doors
