id,employee_email,name,country,city,salary,joining_date,contract_type
16,tmcconachief@about.me,Tedie,Indonesia,Tabanan,$7587.11,2024-08-09,Roofing (Metal)
163,dborley4i@wufoo.com,Dinny,Indonesia,Tabanan,$7069.87,2024-07-11,Ornamental Railings
172,bnormant4r@plala.or.jp,Bentlee,Indonesia,Tabanan,$1205.32,2024-01-09,Landscaping & Irrigation
212,chowman5v@infoseek.co.jp,Cassondra,Indonesia,Tabanan,$7072.24,2024-06-11,Framing (Steel)
234,alibby6h@imgur.com,Abbot,Indonesia,Tabanan,$4978.03,2024-07-08,Granite Surfaces
304,mhaslam8f@wikimedia.org,Mirabelle,Indonesia,Tabanan,$1730.82,2024-08-03,Epoxy Flooring
327,shyslop92@angelfire.com,Sheff,Indonesia,Tabanan,$2282.95,2024-02-01,"Temp Fencing, Decorative Fencing and Gates"
337,glacheze9c@mozilla.com,Gabi,Indonesia,Tabanan,$9553.14,2024-07-31,Asphalt Paving
364,pluttgerta3@java.com,Perceval,Indonesia,Tabanan,$5007.84,2024-03-20,Electrical
385,fspinelloao@indiegogo.com,Francklyn,Indonesia,Tabanan,$8279.52,2024-08-09,Structural & Misc Steel Erection
430,cseifenmacherbx@walmart.com,Cassaundra,Indonesia,Tabanan,$9746.61,2024-02-02,Granite Surfaces
444,jlowdhamcb@statcounter.com,Jojo,Indonesia,Tabanan,$5170.45,2024-03-28,Glass & Glazing
455,cdagnancm@stumbleupon.com,Carlene,Indonesia,Tabanan,$6423.96,2024-06-21,Ornamental Railings
480,jcroxalldb@noaa.gov,Joelle,Indonesia,Tabanan,$1640.84,2024-01-21,Granite Surfaces
521,mballanceeg@yellowpages.com,Matthus,Indonesia,Tabanan,$8219.32,2024-07-01,"Temp Fencing, Decorative Fencing and Gates"
549,ncoultarf8@studiopress.com,Neill,Indonesia,Tabanan,$9856.40,2024-02-07,Retaining Wall and Brick Pavers
556,abainff@aol.com,Agathe,Indonesia,Tabanan,$8155.93,2024-08-09,Landscaping & Irrigation
617,ljonkh4@ezinearticles.com,Leonard,Indonesia,Tabanan,$4262.72,2024-01-02,"Temp Fencing, Decorative Fencing and Gates"
626,anoonhd@shop-pro.jp,Alameda,Indonesia,Tabanan,$8248.49,2024-01-21,Painting & Vinyl Wall Covering
642,rpoelht@wikia.com,Rey,Indonesia,Tabanan,$7740.01,2024-02-15,Asphalt Paving
699,iclellandje@e-recht24.de,Izabel,Indonesia,Tabanan,$8973.85,2024-06-13,Painting & Vinyl Wall Covering
789,vfoulstonelw@stanford.edu,Vinni,Indonesia,Tabanan,$6436.66,2024-06-27,Glass & Glazing
872,ljarratto7@qq.com,Lonnard,Indonesia,Tabanan,$2669.98,2024-03-02,Drywall & Acoustical (FED)
874,jziemkeo9@pcworld.com,Joyan,Indonesia,Tabanan,$6366.80,2024-04-04,Granite Surfaces
884,ichooteroj@nih.gov,Isacco,Indonesia,Tabanan,$7418.97,2024-08-11,Rebar & Wire Mesh Install
933,hthornewillpw@goo.gl,Huntlee,Indonesia,Tabanan,$5493.81,2024-01-27,Electrical
950,ethomsenqd@netvibes.com,Elie,Indonesia,Tabanan,$8377.74,2024-05-01,Drywall & Acoustical (MOB)
965,dblatcherqs@bluehost.com,Desiree,Indonesia,Tabanan,$9402.65,2024-08-16,Masonry & Precast
970,ashellibeerqx@gmpg.org,Allina,Indonesia,Tabanan,$1886.66,2024-07-16,"Doors, Frames & Hardware"
26,wcurromp@icio.us,Willi,Sweden,Eskilstuna,$1358.00,2024-08-16,Electrical and Fire Alarm
56,xlaidlaw1j@sphinn.com,Ximenez,Sweden,Eskilstuna,$9568.38,2024-01-14,Landscaping & Irrigation
117,skencott38@domainmarket.com,Sada,Sweden,Eskilstuna,$4770.84,2024-01-11,Waterproofing & Caulking
164,rduhig4j@msu.edu,Ranna,Sweden,Eskilstuna,$1418.50,2024-02-06,Exterior Signage
182,dsmallthwaite51@cbsnews.com,Dawna,Sweden,Eskilstuna,$6626.94,2024-06-22,Rebar & Wire Mesh Install
184,grevie53@miitbeian.gov.cn,Gerty,Sweden,Eskilstuna,$4675.19,2024-01-19,Construction Clean and Final Clean
194,rsherwen5d@ucsd.edu,Rosamond,Sweden,Eskilstuna,$4053.84,2024-01-31,Ornamental Railings
232,bancliff6f@mac.com,Bob,Sweden,Eskilstuna,$5122.80,2024-08-15,Marlite Panels (FED)
